City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Moerai,PF,79.99,clear sky,-22.43,-151.33,
2,Georgetown,MY,78.8,moderate rain,5.41,100.34,
9,Hilo,US,77.0,light rain,19.73,-155.09,
16,Kahului,US,82.4,scattered clouds,20.89,-156.47,
24,Hithadhoo,MV,81.84,moderate rain,-0.6,73.08,
30,Kapaa,US,78.8,scattered clouds,22.08,-159.32,
31,Urucara,BR,75.79,overcast clouds,-2.54,-57.76,
35,Atuona,PF,78.21,clear sky,-9.8,-139.03,
38,Alyangula,AU,78.8,broken clouds,-13.85,136.42,
39,Tual,ID,84.63,light rain,-5.67,132.75,
40,Sibolga,ID,75.9,light rain,1.74,98.78,
41,Rikitea,PF,78.15,overcast clouds,-23.12,-134.97,
44,Hobart,AU,78.01,few clouds,-42.88,147.33,
47,Vaini,TO,80.6,moderate rain,-21.2,-175.2,
56,Butaritari,KI,80.94,overcast clouds,3.07,172.79,
57,Pochutla,MX,78.8,broken clouds,15.74,-96.47,
58,Grand Gaube,MU,75.99,clear sky,-20.01,57.66,
63,Bengkulu,ID,79.72,overcast clouds,-3.8,102.27,
65,Borba,BR,76.33,clear sky,-4.39,-59.59,
66,Mount Gambier,AU,77.0,clear sky,-37.83,140.77,
67,Saint-Philippe,RE,77.0,clear sky,-21.36,55.77,
72,Manicore,BR,76.37,scattered clouds,-5.81,-61.3,
74,Bambous Virieux,MU,77.0,scattered clouds,-20.34,57.76,
86,San Juan,AR,87.53,clear sky,-31.54,-68.54,
88,Boa Vista,BR,82.4,clear sky,2.82,-60.67,
99,Pucallpa,PE,75.2,broken clouds,-8.38,-74.55,
106,Avarua,CK,82.4,overcast clouds,-21.21,-159.78,
107,Kavaratti,IN,82.36,overcast clouds,10.57,72.64,
115,Sao Jose Da Coroa Grande,BR,78.8,broken clouds,-8.9,-35.15,
117,Luanda,AO,77.61,overcast clouds,-8.84,13.23,
118,Conceicao Do Araguaia,BR,79.2,clear sky,-8.26,-49.26,
119,Gouyave,GD,78.8,few clouds,12.16,-61.73,
121,Sola,VU,87.8,scattered clouds,-13.88,167.55,
123,Isangel,VU,77.0,light intensity shower rain,-19.55,169.27,
124,Sao Filipe,CV,75.51,clear sky,14.9,-24.5,
131,Lorengau,PG,85.86,overcast clouds,-2.02,147.27,
137,Mahebourg,MU,77.0,scattered clouds,-20.41,57.7,
142,New Norfolk,AU,78.01,broken clouds,-42.78,147.06,
145,Tautira,PF,87.8,few clouds,-17.73,-149.15,
146,Carnarvon,AU,80.6,clear sky,-24.87,113.63,
150,Morondava,MG,79.54,clear sky,-20.28,44.28,
151,Namatanai,PG,85.91,broken clouds,-3.67,152.43,
152,Omboue,GA,77.72,overcast clouds,-1.57,9.26,
154,Ballina,AU,80.6,broken clouds,-28.87,153.57,
158,Bouna,CI,75.54,clear sky,9.27,-3.0,
160,Champerico,GT,80.6,broken clouds,14.3,-91.92,
163,Mount Isa,AU,86.0,overcast clouds,-20.73,139.5,
168,Srandakan,ID,79.16,overcast clouds,-7.94,110.25,
170,Geraldton,AU,80.6,clear sky,-28.77,114.6,
181,Witu,KE,75.2,scattered clouds,-2.39,40.44,
192,Alofi,NU,82.4,overcast clouds,-19.06,-169.92,
196,Quatre Cocos,MU,77.0,light rain,-20.21,57.76,
197,Anori,BR,75.96,clear sky,-3.77,-61.64,
201,Kavieng,PG,85.24,scattered clouds,-2.57,150.8,
203,Cockburn Town,TC,77.0,scattered clouds,21.46,-71.14,
204,Sorong,ID,82.13,overcast clouds,-0.88,131.25,
209,Souillac,MU,77.0,scattered clouds,-20.52,57.52,
211,Labuhan,ID,80.73,overcast clouds,-6.88,112.21,
217,Rioja,AR,83.5,few clouds,-29.41,-66.85,
219,Caravelas,BR,75.09,clear sky,-17.71,-39.25,
220,Bathsheba,BB,78.8,few clouds,13.22,-59.52,
222,Sambava,MG,75.16,light rain,-14.27,50.17,
226,Victor Harbor,AU,77.0,broken clouds,-35.57,138.62,
229,Mayumba,GA,77.63,moderate rain,-3.43,10.66,
238,Rotifunk,SL,75.11,clear sky,8.23,-12.68,
242,Kinshasa,CD,77.0,overcast clouds,-4.32,15.32,
245,Itarema,BR,79.72,broken clouds,-2.92,-39.92,
246,Salinopolis,BR,80.38,overcast clouds,-0.61,-47.36,
256,Colombo,LK,75.2,broken clouds,6.93,79.85,
258,Bakel,SN,75.85,clear sky,14.9,-12.46,
260,Atambua,ID,82.31,overcast clouds,-9.11,124.89,
262,Mahibadhoo,MV,80.96,moderate rain,3.78,72.97,
270,Vao,NC,75.87,heavy intensity rain,-22.67,167.48,
276,Ati,TD,75.43,scattered clouds,13.22,18.34,
285,Tecoanapa,MX,75.13,clear sky,16.52,-98.75,
286,Faanui,PF,81.05,scattered clouds,-16.48,-151.75,
289,Nioro,GM,78.12,clear sky,13.35,-15.75,
290,Port Augusta,AU,86.0,scattered clouds,-32.5,137.77,
295,Nisia Floresta,BR,78.8,few clouds,-6.09,-35.21,
296,Luzilandia,BR,75.99,light rain,-3.46,-42.37,
297,Makakilo City,US,84.2,scattered clouds,21.35,-158.09,
300,The Valley,AI,78.8,scattered clouds,18.22,-63.06,
301,Tela,HN,80.6,clear sky,15.78,-87.45,
303,Nalvo,PH,77.99,clear sky,16.81,120.51,
304,Port-Gentil,GA,81.18,overcast clouds,-0.72,8.78,
309,Mackay,AU,78.8,broken clouds,-21.15,149.2,
311,Mazagao,BR,84.2,broken clouds,-0.12,-51.29,
312,Angoche,MZ,77.41,few clouds,-16.23,39.91,
318,Touros,BR,77.0,few clouds,-5.2,-35.46,
319,Takoradi,GH,79.25,overcast clouds,4.88,-1.76,
320,Grand-Lahou,CI,78.84,clear sky,5.14,-5.02,
322,Bima,ID,84.24,broken clouds,-8.47,118.72,
331,Freetown,SL,78.46,clear sky,8.48,-13.23,
338,Yaan,NG,79.86,overcast clouds,7.38,8.57,
347,Dhidhdhoo,MV,81.9,heavy intensity rain,6.88,73.1,
351,Broken Hill,AU,80.6,broken clouds,-31.95,141.43,
