Weather_Database,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Moerai,-22.43,-151.33,79.99,77,7,12.97,PF,2021-01-02 01:21:23,clear sky
1,Ponta Do Sol,32.67,-17.1,59.0,67,75,6.93,PT,2021-01-02 01:15:21,broken clouds
2,Georgetown,5.41,100.34,78.8,83,20,6.29,MY,2021-01-02 01:14:31,moderate rain
3,Nikolskoye,59.7,30.79,33.01,98,90,6.71,RU,2021-01-02 01:15:12,light shower snow
4,Punta Arenas,-53.15,-70.92,60.8,63,0,21.92,CL,2021-01-02 01:21:23,clear sky
5,Yellowknife,62.46,-114.35,-24.0,74,40,3.36,CA,2021-01-02 01:21:24,scattered clouds
6,Novoilinsk,51.68,108.71,-13.07,86,99,4.25,RU,2021-01-02 01:21:24,overcast clouds
7,Saint-Augustin,51.23,-58.65,5.97,85,0,15.7,CA,2021-01-02 01:21:24,clear sky
8,Port Alfred,-33.59,26.89,61.0,77,34,1.99,ZA,2021-01-02 01:21:25,scattered clouds
9,Hilo,19.73,-155.09,77.0,73,40,6.93,US,2021-01-02 01:17:22,light rain
10,Kargil,34.57,76.1,-6.32,59,0,1.54,IN,2021-01-02 01:21:25,clear sky
11,Shingu,33.73,135.98,42.8,70,75,12.75,JP,2021-01-02 01:21:26,broken clouds
12,Jamestown,42.1,-79.24,33.01,94,90,12.84,US,2021-01-02 01:21:26,light rain
13,Vila Franca Do Campo,37.72,-25.43,57.2,71,75,13.87,PT,2021-01-02 01:16:34,broken clouds
14,Hermanus,-34.42,19.23,60.01,78,0,1.99,ZA,2021-01-02 01:15:27,clear sky
15,Busselton,-33.65,115.33,71.01,59,2,8.99,AU,2021-01-02 01:21:27,clear sky
16,Kahului,20.89,-156.47,82.4,48,40,23.04,US,2021-01-02 01:16:11,scattered clouds
17,Fortuna,40.6,-124.16,52.0,100,90,10.29,US,2021-01-02 01:16:06,light rain
18,Ribeira Grande,38.52,-28.7,60.73,83,100,27.76,PT,2021-01-02 01:15:15,overcast clouds
19,Lebu,-37.62,-73.65,57.29,79,0,20.58,CL,2021-01-02 01:17:13,clear sky
20,Rocha,-34.48,-54.33,58.01,87,100,2.24,UY,2021-01-02 01:15:55,overcast clouds
21,Hasaki,35.73,140.83,41.0,48,20,1.12,JP,2021-01-02 01:14:22,few clouds
22,Salalah,17.02,54.09,73.4,73,40,1.12,OM,2021-01-02 01:21:28,scattered clouds
23,Puerto Ayora,-0.74,-90.35,73.0,92,34,1.99,EC,2021-01-02 01:14:57,scattered clouds
24,Hithadhoo,-0.6,73.08,81.84,73,1,7.0,MV,2021-01-02 01:10:15,moderate rain
25,Dukat,62.55,155.55,-32.96,82,100,5.75,RU,2021-01-02 01:21:29,overcast clouds
26,Mataura,-46.19,168.86,57.0,88,100,10.0,NZ,2021-01-02 01:14:56,moderate rain
27,Krasnoselkup,65.7,82.47,-25.51,86,62,5.39,RU,2021-01-02 01:17:36,broken clouds
28,Bustamante,26.53,-100.5,50.47,48,0,4.25,MX,2021-01-02 01:21:30,clear sky
29,Kodiak,57.79,-152.41,35.6,74,90,13.87,US,2021-01-02 01:16:12,light rain
30,Kapaa,22.08,-159.32,78.8,74,40,16.11,US,2021-01-02 01:15:12,scattered clouds
31,Urucara,-2.54,-57.76,75.79,91,100,2.26,BR,2021-01-02 01:21:31,overcast clouds
32,Qaanaaq,77.48,-69.36,-2.49,81,100,0.65,GL,2021-01-02 01:15:32,overcast clouds
33,Kem,64.96,34.58,25.75,99,100,7.99,RU,2021-01-02 01:21:31,overcast clouds
34,Khatanga,71.97,102.5,-8.46,90,100,14.14,RU,2021-01-02 01:15:55,light snow
35,Atuona,-9.8,-139.03,78.21,75,2,15.3,PF,2021-01-02 01:15:36,clear sky
36,Marabba,12.35,32.18,69.84,29,93,11.14,SD,2021-01-02 01:21:32,overcast clouds
37,Narsaq,60.92,-46.05,39.2,38,100,13.87,GL,2021-01-02 01:15:56,overcast clouds
38,Alyangula,-13.85,136.42,78.8,100,75,11.41,AU,2021-01-02 01:21:33,broken clouds
39,Tual,-5.67,132.75,84.63,73,100,12.46,ID,2021-01-02 01:17:52,light rain
40,Sibolga,1.74,98.78,75.9,85,100,4.16,ID,2021-01-02 01:17:42,light rain
41,Rikitea,-23.12,-134.97,78.15,69,95,11.27,PF,2021-01-02 01:14:55,overcast clouds
42,Toshkivka,48.78,38.58,37.08,94,89,7.81,UA,2021-01-02 01:21:34,overcast clouds
43,Ruidoso,33.33,-105.67,26.6,23,75,8.05,US,2021-01-02 01:21:34,broken clouds
44,Hobart,-42.88,147.33,78.01,49,20,8.05,AU,2021-01-02 01:12:18,few clouds
45,Provideniya,64.38,-173.3,17.29,95,100,21.45,RU,2021-01-02 01:16:46,snow
46,Albany,42.6,-73.97,30.99,77,100,8.68,US,2021-01-02 01:14:54,overcast clouds
47,Vaini,-21.2,-175.2,80.6,83,75,11.41,TO,2021-01-02 01:21:35,moderate rain
48,Necochea,-38.55,-58.74,64.99,62,0,11.7,AR,2021-01-02 01:17:14,clear sky
49,Fuxin,42.02,121.66,2.98,75,0,3.18,CN,2021-01-02 01:21:36,clear sky
50,Luderitz,-26.65,15.16,64.4,59,78,5.82,NA,2021-01-02 01:16:33,broken clouds
51,La Ronge,55.1,-105.28,19.4,85,91,4.7,CA,2021-01-02 01:17:50,overcast clouds
