City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bethel,US,2020-12-31 18:40:51,41.37,-73.41,41.0,75,90,5.82
1,Hilo,US,2020-12-31 18:40:30,19.73,-155.09,69.8,88,90,5.82
2,Castro,BR,2020-12-31 18:40:39,-24.79,-50.01,64.31,93,100,8.79
3,Clyde River,CA,2020-12-31 18:40:46,70.47,-68.59,-0.4,91,75,20.8
4,Cidreira,BR,2020-12-31 18:40:37,-30.18,-50.21,76.41,55,0,17.34
5,Rambha,IN,2020-12-31 18:46:47,19.52,85.1,67.96,75,0,3.42
6,Cherskiy,RU,2020-12-31 18:46:48,68.75,161.3,-41.3,81,100,3.65
7,Nikolskoye,RU,2020-12-31 18:42:17,59.7,30.79,33.8,97,90,4.47
8,Caravelas,BR,2020-12-31 18:46:48,-17.71,-39.25,81.52,66,0,11.01
9,Svetlaya,RU,2020-12-31 18:46:49,46.54,138.33,-7.22,80,0,12.71
10,Lethem,GY,2020-12-31 18:42:54,3.38,-59.8,90.16,49,64,6.85
11,Hobart,AU,2020-12-31 18:46:49,-42.88,147.33,57.2,76,90,3.11
12,Rikitea,PF,2020-12-31 18:46:50,-23.12,-134.97,77.76,76,26,14.25
13,Tiksi,RU,2020-12-31 18:40:38,71.69,128.87,-16.69,88,100,7.9
14,Yumen,CN,2020-12-31 18:46:50,40.28,97.2,14.9,80,0,12.97
15,Punta Arenas,CL,2020-12-31 18:40:23,-53.15,-70.92,62.6,48,40,13.87
16,Namibe,AO,2020-12-31 18:42:29,-15.2,12.15,70.52,78,100,5.23
17,Provideniya,RU,2020-12-31 18:40:56,64.38,-173.3,22.87,97,100,9.51
18,Cayenne,GF,2020-12-31 18:41:51,4.93,-52.33,82.4,83,0,5.82
19,Mar Del Plata,AR,2020-12-31 18:40:26,-38.0,-57.56,75.2,27,20,13.87
20,Qaanaaq,GL,2020-12-31 18:40:27,77.48,-69.36,10.18,75,100,2.95
21,Berlevag,NO,2020-12-31 18:41:51,70.86,29.09,26.55,94,23,12.5
22,Guerrero Negro,MX,2020-12-31 18:40:40,27.98,-114.06,65.43,30,0,12.06
23,Ust-Tsilma,RU,2020-12-31 18:46:52,65.44,52.15,-11.02,89,64,7.27
24,Ankara,TR,2020-12-31 18:42:21,39.92,32.85,46.4,70,0,3.13
25,Pangai,TO,2020-12-31 18:46:53,-19.8,-174.35,78.24,85,100,15.5
26,Puerto Narino,CO,2020-12-31 18:46:53,-3.77,-70.38,91.4,55,40,4.7
27,Bredasdorp,ZA,2020-12-31 18:40:32,-34.53,20.04,68.0,60,29,18.34
28,Pisco,PE,2020-12-31 18:41:12,-13.7,-76.22,75.0,78,0,11.41
29,Ushuaia,AR,2020-12-31 18:40:35,-54.8,-68.3,57.2,47,20,26.4
30,Emerald,AU,2020-12-31 18:46:54,-23.53,148.17,71.6,100,100,4.7
31,Tskneti,GE,2020-12-31 18:46:55,41.69,44.69,28.4,100,90,2.51
32,Kodiak,US,2020-12-31 18:41:02,57.79,-152.41,30.2,100,90,4.7
33,Dikson,RU,2020-12-31 18:40:35,73.51,80.55,-16.31,86,100,13.42
34,Vaini,TO,2020-12-31 18:40:28,-21.2,-175.2,75.2,88,75,6.93
35,Busselton,AU,2020-12-31 18:40:22,-33.65,115.33,62.01,79,0,12.73
36,Puerto Ayora,EC,2020-12-31 18:40:43,-0.74,-90.35,82.4,58,40,16.11
37,Hithadhoo,MV,2020-12-31 18:41:03,-0.6,73.08,83.16,76,100,15.03
38,Atuona,PF,2020-12-31 18:40:33,-9.8,-139.03,77.86,78,6,17.6
39,Darab,IR,2020-12-31 18:46:56,28.75,54.54,51.66,43,0,4.56
40,Kieta,PG,2020-12-31 18:40:48,-6.22,155.63,78.76,76,98,1.25
41,Kahului,US,2020-12-31 18:41:11,20.89,-156.47,73.4,69,20,12.75
42,Thompson,CA,2020-12-31 18:41:05,55.74,-97.86,8.6,78,90,8.05
43,Okhotsk,RU,2020-12-31 18:41:14,59.38,143.3,-1.98,82,90,16.82
44,Soyo,AO,2020-12-31 18:46:57,-6.13,12.37,77.77,86,100,3.42
45,New Norfolk,AU,2020-12-31 18:40:48,-42.78,147.06,55.0,73,69,0.72
46,Sobolevo,RU,2020-12-31 18:41:00,54.43,31.9,34.84,97,100,8.41
47,Tasiilaq,GL,2020-12-31 18:40:32,65.61,-37.64,26.6,86,100,20.8
48,Jamestown,US,2020-12-31 18:40:39,42.1,-79.24,30.0,79,90,5.95
49,Tailai,CN,2020-12-31 18:46:59,46.38,123.4,-9.49,82,0,7.4
50,Mataura,NZ,2020-12-31 18:40:31,-46.19,168.86,54.0,97,100,1.99
51,Geraldton,AU,2020-12-31 18:40:59,-28.77,114.6,71.6,78,90,6.93
52,Eureka,US,2020-12-31 18:40:42,40.8,-124.16,51.01,96,75,2.42
53,Tucumcari,US,2020-12-31 18:46:59,35.17,-103.72,35.6,34,1,3.36
54,Avarua,CK,2020-12-31 18:39:00,-21.21,-159.78,77.0,88,27,6.93
55,Barrow,US,2020-12-31 18:40:38,71.29,-156.79,-16.6,68,1,14.99
56,La Ronge,CA,2020-12-31 18:40:58,55.1,-105.28,8.6,92,100,2.24
57,Chuy,UY,2020-12-31 18:40:33,-33.7,-53.46,71.82,43,0,16.15
